#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
2739 77.27 1 004650.3 +262833 0.00 4630 4687
2743 62.23 1 004656.0 +324031 10.94 4567 4622
2744 92.04 1 004656.6 -215051 11.93 6132 6231
2747 59.43 2 004708.3 +302027 11.15 4934 4999
2758 3.52 3 004708.6 -204537 8.17 -142 -142
2759 115.35 1 004706.8 -024353 0.00 6806 6928
2765 47.21 1 004716.0 +075435 10.98 4938 5003
2768 173.78 1 004719.4 +144212 11.17 11459 11804
2769 143.22 1 004730.3 +154148 0.00 9100 9318
2782 76.21 1 004731.6 +313923 0.00 4775 4835
2784 93.33 1 004735.1 +140918 0.00 11226 11558
2786 85.11 1 004725.5 -095110 0.00 5439 5517
2789 3.56 3 004733.1 -251718 3.82 -42 -42
2800 71.12 3 004746.4 -095006 10.41 5448 5527
2805 16.98 2 004747.5 -095358 0.00 1018 1021
2806 56.23 1 004754.0 +193548 9.95 4233 4280
2818 67.30 1 004801.5 +081749 9.64 4944 5008
