#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
74276 90.36 1 025854.2 +060658 0.00 7007 7137
74291 89.54 1 025948.6 +054433 0.00 6639 6755
74829 152.05 1 033903.0 -175141 0.00 12374 12776
74926 153.46 1 034203.3 -173116 0.00 11461 11806
75039 104.23 1 040607.8 -620320 0.00 5624 5708
75178 194.09 1 042815.1 -530631 0.00 12766 13194
75179 215.77 1 042826.7 -534316 12.15 15768 16418
75191 154.17 1 043016.2 -532921 0.00 12892 13328
75202 207.97 1 043244.8 -131126 0.00 9639 9884
75203 168.27 1 043254.5 -125853 0.00 9159 9380
75220 154.88 1 043325.6 -133056 0.00 9867 10124
75236 175.39 1 043419.7 -124758 0.00 9759 10010
75242 206.06 1 043505.6 -132815 0.00 9675 9921
75244 158.49 2 043506.9 -132340 11.70 9350 9580
75286 93.33 1 051535.9 +061553 11.36 8741 8942
75289 129.42 2 051547.7 +064640 0.00 8199 8376
75290 101.39 1 051547.8 +061921 11.46 8633 8829
75298 135.52 1 051559.9 +062519 0.00 8841 9047
75301 120.23 1 051613.7 +062651 10.97 6685 6803
75307 130.02 1 051625.5 +062029 11.27 8639 8836
75311 113.76 1 051634.0 +062657 0.00 8130 8304
75312 113.76 1 051637.1 +062652 9.76 8752 8954
75313 124.74 1 051637.0 +062706 0.00 8677 8876
75314 112.20 1 051637.2 +062612 0.00 7750 7909
75316 97.27 1 051638.7 +063041 0.00 7894 8059
75317 103.28 1 051638.9 +062751 0.00 9360 9591
75321 157.76 1 051644.5 +063208 0.00 9935 10195
75322 112.72 1 051645.9 +062241 0.00 8413 8599
75323 119.67 1 051633.6 +063014 0.00 8665 8863
75324 109.65 1 051649.5 +062319 0.00 8698 8897
75325 110.15 1 051650.6 +062246 0.00 8146 8321
75327 107.15 1 051654.6 +063713 0.00 9107 9325
75331 142.56 1 051707.3 +062937 0.00 10015 10279
75360 92.90 1 054437.4 -255335 0.00 11783 12147
75368 133.05 1 054508.2 -260534 0.00 12674 13096
75411 235.50 1 054616.9 -251611 0.00 12637 13056
75450 199.53 1 054819.6 -253807 0.00 12076 12459
75465 172.98 1 054934.5 -250432 0.00 14412 14957
75474 190.55 1 055719.1 -392616 0.00 13938 14448
75482 187.93 1 055903.5 -401137 0.00 13095 13545
75489 328.10 1 060126.6 -395921 0.00 15168 15770
75519 149.28 1 060845.2 -334632 0.00 10970 11286
75554 136.77 1 061204.9 -330420 0.00 11129 11454
75566 107.15 1 061249.8 -341508 0.00 8880 9088
75615 79.80 1 061741.4 -064742 0.00 9773 10024
75642 162.18 1 061940.6 -642520 0.00 8659 8857
75644 78.34 1 061950.5 -652703 0.00 8866 9073
75661 118.58 1 062052.1 -642907 0.00 7814 7975
75665 87.90 2 062114.0 -650058 11.63 7902 8067
75687 111.69 1 062158.2 -642259 0.00 7651 7805
75690 70.79 1 062201.7 -644742 0.00 7930 8096
75691 90.36 1 062204.8 -645735 0.00 8440 8628
75694 76.91 2 062219.7 -641404 10.65 7897 8061
75713 114.29 1 062307.4 -645550 11.71 8543 8736
75721 283.14 1 062326.3 -643422 0.00 13187 13643
75727 106.66 1 062348.9 -645715 0.00 7319 7460
75744 129.42 1 062517.9 -644755 0.00 7513 7662
75778 150.66 1 062909.2 -133140 0.00 12721 13145
75824 74.13 1 063220.5 -142520 0.00 6313 6418
75835 198.61 1 063321.2 -135007 0.00 12730 13155
75848 156.31 1 063417.6 -143144 0.00 12581 12997
75878 87.90 1 063608.3 -154707 0.00 6341 6448
75896 202.30 1 063732.3 -171722 0.00 12162 12550
75953 115.35 1 064047.8 -172400 0.00 11887 12258
76117 258.23 1 065004.3 -261508 0.00 15072 15666
76157 184.50 1 065132.7 -272950 0.00 11884 12255
76171 217.77 1 065208.3 -254825 0.00 12089 12473
76226 139.32 1 065400.7 -275455 0.00 12051 12433
76296 95.94 1 065635.9 -253816 0.00 8018 8187
76321 145.88 1 065756.4 -253523 0.00 13220 13678
76384 196.79 1 070057.1 -274548 0.00 14106 14627
79913 89.13 1 080804.6 -145239 0.00 6840 6963
81763 173.78 1 083921.5 -233717 0.00 13294 13758
82124 198.61 1 085603.0 -281559 0.00 15815 16469
82137 165.20 1 085643.0 -282628 0.00 12285 12682
82142 140.60 1 085657.7 -275641 0.00 14482 15031
82289 304.79 1 090721.9 -091642 0.00 16461 17169
82458 295.12 1 093607.3 -052345 0.00 15897 16558
82472 152.05 1 093700.7 -051225 0.00 15901 16562
82473 165.20 1 093700.6 -051607 0.00 15988 16656
82504 95.50 1 093948.1 -043304 0.00 9603 9846
82600 219.79 1 101208.4 -012507 0.00 13595 14079
82623 174.58 1 101342.2 -005425 0.00 13881 14386
82629 240.99 1 101358.9 -005705 0.00 13197 13654
82647 221.82 1 101518.6 -012613 0.00 17682 18498
82650 272.90 1 101535.7 -010945 0.00 15686 16329
82667 304.79 1 101652.8 -012305 12.49 19369 20346
82674 201.37 1 101749.0 -072422 0.00 13050 13496
82766 291.07 1 101741.7 -072454 0.00 19548 20543
82791 213.80 1 102023.3 -045909 0.00 12442 12849
82805 180.30 1 102035.3 -043705 0.00 12085 12469
82817 160.69 1 102043.6 -043354 0.00 11804 12170
82822 139.96 1 102047.2 -044415 0.00 11905 12277
82869 149.28 1 102137.7 -041846 0.00 12123 12509
82880 255.86 1 102153.1 -072108 0.00 15744 16393
82884 115.88 1 102208.7 -050426 0.00 12095 12479
82885 281.84 1 102209.6 -053637 0.00 11307 11643
82920 82.04 1 102417.5 -054039 0.00 6263 6367
83082 63.97 1 102948.4 -352508 0.00 3338 3368
83382 165.96 1 105701.7 +013404 0.00 11641 11997
83387 162.93 1 105732.9 +013717 0.00 10950 11265
83389 213.80 1 105743.4 +013402 11.70 12128 12514
83398 232.27 1 105813.0 +013624 11.64 11921 12294
83400 188.80 1 105815.2 +013657 11.74 12189 12579
83401 153.46 1 105817.7 +010830 0.00 12379 12781
83402 209.89 1 105819.6 +013336 0.00 12493 12903
83405 180.30 1 105836.9 +012517 0.00 11744 12107
83406 159.22 1 105838.8 +012254 0.00 12704 13128
83408 175.39 1 105901.0 +012444 0.00 12897 13334
83412 149.28 1 105909.1 +012300 0.00 12220 12613
83419 166.72 1 105940.6 +012712 0.00 12550 12964
83420 150.66 1 105941.9 +104959 12.16 10719 11021
83425 152.76 1 110001.1 +013732 0.00 13143 13596
83427 137.40 1 110023.7 +095022 0.00 9649 9894
83436 189.67 1 110223.8 +102037 0.00 11684 12042
83445 95.94 1 110618.9 -100305 0.00 8079 8251
83447 108.64 1 110737.5 -100710 0.00 8324 8507
83454 155.60 1 110933.1 +283739 11.54 11652 12008
83621 209.89 1 125304.2 -152557 0.00 13566 14048
83625 359.75 1 125328.5 -153030 0.00 15208 15813
83633 220.80 1 125415.4 -155008 0.00 13272 13734
83663 130.02 1 125629.8 +275623 0.00 6852 6976
83697 225.94 1 125746.7 -173011 0.00 13293 13756
83703 82.04 1 125754.0 +282958 0.00 7588 7740
83709 178.65 1 125759.9 -173522 0.00 12899 13335
83732 191.43 1 125921.3 -173848 0.00 14291 14826
83739 181.97 1 125952.1 -164146 0.00 14148 14673
83747 80.17 1 130026.9 +273055 0.00 8074 8246
83755 125.31 1 130122.8 +281145 0.00 7933 8099
83757 75.86 1 130148.4 +273614 0.00 8510 8701
83758 94.19 1 130201.1 +273910 0.00 7367 7511
83761 55.98 1 130211.9 +281023 0.00 9218 9441
83940 280.54 1 131915.0 -371047 0.00 14723 15290
83947 288.40 1 132129.7 -290124 0.00 14477 15026
83958 150.66 1 132420.3 -270239 0.00 10366 10649
83960 188.80 1 132434.4 -270911 0.00 13123 13575
83962 90.36 1 132451.2 -262451 0.00 10433 10719
83963 157.76 1 132457.7 -273234 0.00 10201 10475
83964 235.50 1 132500.4 -271409 0.00 13919 14427
83965 158.49 1 132508.1 -274909 12.43 11153 11480
83991 116.41 1 132722.7 -270330 0.00 11391 11732
84004 120.23 1 132807.4 -270114 0.00 11215 11546
84008 152.76 1 132826.4 -264813 0.00 15847 16503
84016 149.28 1 132905.8 -271046 0.00 10861 11172
84020 179.47 1 132936.5 -274959 0.00 10911 11224
84037 252.35 1 133857.9 -353335 0.00 15400 16021
84052 99.54 2 134814.0 -332255 10.90 12463 12870
84290 189.67 1 144648.9 -135111 0.00 13357 13824
84309 172.19 1 144959.3 +164415 0.00 12087 12470
84332 214.78 1 145229.3 +162052 0.00 13712 14205
84335 231.21 1 145245.6 +164924 0.00 13935 14444
84338 204.17 1 145257.8 +164149 11.74 13432 13905
84348 300.61 1 145340.0 +180412 0.00 21383 22571
84357 200.45 1 145404.9 +182601 0.00 16852 17593
84375 201.37 1 145454.0 +185012 0.00 17765 18588
84392 199.53 1 145557.9 +183008 0.00 16685 17412
84463 207.97 1 151116.0 +072922 11.65 13912 14419
84478 229.09 1 151202.6 +065553 0.00 14128 14651
84483 193.20 1 151211.2 +073351 12.49 13924 14432
84492 207.01 1 151234.3 +072552 0.00 13092 13542
84499 207.01 1 151243.3 +072649 0.00 13395 13865
84505 207.97 1 151250.7 +072526 0.00 13779 14276
84519 232.27 1 151328.7 +065928 0.00 13678 14169
84532 130.02 1 151424.7 +073652 0.00 13515 13994
84559 158.49 1 152051.6 +083723 0.00 9439 9674
84597 143.88 1 152255.2 +082400 0.00 9714 9963
84599 159.96 1 152256.5 +083900 0.00 10236 10512
84607 158.49 1 152306.9 +084035 0.00 10371 10654
84608 230.14 1 152315.3 +083947 0.00 9473 9709
84610 110.15 1 152320.4 +082416 0.00 9900 10158
84611 145.88 1 152320.9 +082339 0.00 9272 9498
84622 292.42 1 152402.0 +081855 0.00 23156 24547
84826 284.45 1 170322.5 +784655 0.00 19567 20565
84864 188.80 1 170909.8 +785231 0.00 18696 19607
84867 255.86 1 170939.8 +783307 0.00 16057 16731
84931 154.17 1 204809.9 -522929 0.00 14432 14978
84933 180.30 1 204847.7 -522332 0.00 14466 15014
84948 132.43 1 204944.6 -515659 11.87 9440 9675
84949 148.59 1 204951.1 -525512 0.00 12338 12738
84957 191.43 1 205027.0 -520312 0.00 14349 14888
84963 183.65 1 205043.7 -530928 0.00 12643 13062
84966 146.55 1 205049.3 -525606 0.00 12584 12999
84968 200.45 1 205059.9 -530725 0.00 12504 12914
84970 186.21 1 205103.2 -523950 0.00 14046 14562
84971 179.47 1 205105.1 -524501 0.00 14223 14753
84975 223.87 1 205108.3 -530239 0.00 12413 12818
84977 310.46 1 205118.0 -525525 0.00 11958 12333
84993 213.80 1 205155.1 -514928 0.00 14609 15168
85002 128.82 1 205216.5 -514536 0.00 15150 15750
85003 219.79 1 205218.4 -515751 0.00 14664 15227
85010 183.65 1 205246.4 -530439 0.00 12961 13401
85011 300.61 1 205247.5 -515515 0.00 19697 20707
85040 300.61 1 205420.4 -514953 0.00 14166 14692
85084 334.19 1 210557.2 -393654 0.00 14905 15487
85085 162.93 1 210600.4 -260615 0.00 11696 12055
85089 145.88 1 210603.5 -261028 11.60 11716 12077
85091 174.58 1 210605.4 -393752 0.00 15499 16127
85127 157.04 1 210711.2 -251510 0.00 11331 11669
85136 244.34 1 210726.7 -394112 0.00 14344 14883
85142 115.88 1 210732.3 -253834 11.61 12019 12399
85153 213.80 1 210758.5 -392852 0.00 15065 15659
85225 225.94 1 221129.5 -181926 0.00 13975 14487
85417 163.68 1 231919.0 +183648 0.00 11187 11516
85424 326.59 1 232222.4 +170054 0.00 21894 23139
85433 125.31 1 232301.0 +164758 0.00 11130 11455
85436 187.07 1 232310.6 +165449 0.00 11981 12358
85449 187.07 1 232347.6 +165108 0.00 12169 12558
85465 188.80 1 232419.6 +164354 0.00 13001 13444
85512 107.15 1 233623.9 +262211 0.00 7689 7845
85547 119.67 1 233757.8 +271551 11.41 9885 10142
85551 165.96 2 233804.9 +264609 0.00 8396 8582
85558 131.83 1 233813.7 +272451 11.31 8989 9202
85561 159.96 1 233818.6 +270206 0.00 9216 9439
85563 137.40 1 233820.7 +270302 0.00 9775 10026
85570 121.90 1 233829.6 +270205 0.00 7758 7916
85575 157.76 1 233833.1 +270206 0.00 9560 9800
85577 149.97 1 233834.5 +265847 0.00 8176 8352
85580 137.40 1 233842.0 +270707 0.00 9241 9466
85582 141.25 1 233844.2 +265103 0.00 8668 8866
85583 123.03 1 233846.2 +271020 0.00 9415 9648
85586 144.54 1 233849.2 +270722 0.00 8632 8828
85591 101.86 1 233854.0 +270244 0.00 9322 9551
85592 112.20 1 233856.3 +270941 0.00 8917 9127
85598 196.79 1 233902.7 +270609 0.00 9594 9836
85610 123.03 2 233917.8 +265041 0.00 7657 7812
85623 132.43 1 234003.2 +271001 0.00 8651 8848
85627 104.71 1 234008.6 +265401 0.00 10757 11061
85663 175.39 1 234416.1 +090256 11.35 11525 11874
85668 159.22 1 234427.7 +091601 0.00 12201 12592
85679 163.68 1 234443.8 +091256 0.00 11997 12375
85687 244.34 1 234456.3 +090747 0.00 11593 11946
85692 181.13 1 234501.6 +090241 0.00 13216 13674
85694 168.27 1 234506.9 +090334 0.00 11986 12363
85699 181.13 1 234517.2 +091615 11.57 11905 12277
85706 179.47 1 234540.5 +091406 0.00 11382 11723
85740 207.01 1 234635.8 -275945 12.03 14622 15182
85741 80.17 1 234638.4 -281511 0.00 7715 7872
85742 220.80 1 234640.9 -280559 0.00 16506 17218
85749 134.90 1 234658.2 -280255 0.00 7720 7877
85750 100.00 1 234713.4 -280102 0.00 9784 10036
85751 90.78 1 234714.4 -281134 0.00 8497 8687
85752 152.76 1 234714.3 -280148 0.00 8066 8238
85754 145.88 1 234720.1 -280346 0.00 8062 8234
85755 128.82 1 234722.4 -275832 0.00 7198 7335
85756 158.49 1 234723.2 -280708 0.00 9347 9577
85762 118.03 1 234730.7 -280235 0.00 7931 8097
85766 121.90 1 234745.3 -280949 0.00 9260 9485
85767 72.78 1 234745.8 -280627 0.00 7874 8038
85770 120.78 1 234749.6 -281213 0.00 9255 9480
85771 97.72 1 234749.6 -280511 0.00 9387 9619
85782 136.14 1 234826.8 -280637 0.00 9530 9769
85783 102.80 1 234827.0 -280859 0.00 8975 9187
85784 116.41 1 234838.2 -280649 0.00 10011 10274
85800 109.65 1 234900.2 -280226 0.00 10100 10369
85805 155.60 1 234915.6 -275834 12.32 9898 10156
85841 154.88 1 235134.6 -280418 11.16 9407 9640
85984 50.82 1 080024.7 -121045 0.00 2992 3016
86008 203.24 1 065731.4 -265031 0.00 10117 10387
86046 4.11 1 072522.0 -242831 0.00 1001 1003
86266 42.27 1 041246.0 +294612 0.00 4559 4614
86269 46.13 1 044409.0 +281300 0.00 3317 3346
86285 43.65 2 061902.6 +030951 7.86 3005 3029
86297 31.33 1 195057.3 +182228 0.00 3740 3778
86299 201.37 1 162807.8 +393123 0.00 9171 9393
86311 77.98 2 135046.1 -295955 10.76 4507 4561
86313 55.98 2 135840.9 -332806 11.18 4233 4281
86314 40.93 1 135951.4 -341902 11.40 4436 4488
86316 64.86 2 140210.7 -334726 10.76 4151 4196
86319 39.45 1 140607.1 -331215 11.31 4362 4413
86320 66.99 1 140308.1 -340555 11.08 4261 4309
86518 47.64 1 233037.7 +153618 0.00 3683 3719
86633 85.11 1 113355.1 +192135 0.00 4080 4124
86668 8.83 1 090254.0 +200428 15.40 761 762
86669 9.29 1 091930.3 +213613 14.80 782 784
86840 81.66 1 082414.7 +341939 0.00 5395 5472
86944 180.30 1 102110.7 +353928 0.00 11566 11917
87182 91.20 1 232145.8 +164726 0.00 6769 6890
87321 105.20 1 162821.6 +405424 0.00 10157 10429
87327 58.34 1 103709.7 -273928 0.00 4449 4502
87329 62.52 1 103620.9 -271000 0.00 3980 4022
87330 80.17 1 103649.1 -272319 0.00 4813 4874
87344 173.78 1 110620.0 -482237 0.00 13623 14110
87351 158.49 1 113740.6 -444418 0.00 10208 10482
87679 238.78 1 161155.3 +294946 0.00 15066 15661
87755 162.93 1 004014.8 -152815 0.00 16015 16686
87762 343.56 1 004133.4 -142148 0.00 15605 16242
87919 187.07 1 015953.5 -054100 0.00 15442 16066
88037 128.82 1 025445.3 -513019 0.00 9594 9836
88095 130.02 1 031832.8 -412644 0.00 9423 9657
88275 99.54 1 043103.1 -125826 0.00 10430 10716
88317 144.54 1 043255.4 -611911 0.00 16283 16976
88352 159.22 1 044505.1 -442240 0.00 14004 14518
88608 0.09 1 101302.9 -013652 7.00 581 582
88839 112.20 1 132642.2 -312858 0.00 13457 13932
88843 207.01 1 132704.4 -312008 0.00 15363 15981
88847 165.96 2 132709.5 -313821 11.49 15244 15852
88849 144.54 1 132724.7 -314043 0.00 15265 15875
88850 267.92 1 132727.0 -314107 0.00 13814 14314
88857 175.39 1 132802.6 -314520 11.27 13139 13592
88860 187.07 2 132810.5 -312310 0.00 13500 13978
88886 177.83 1 132843.1 -313840 0.00 16429 17134
88888 153.46 1 132847.2 -314135 0.00 14390 14932
89014 54.95 1 171145.0 -254450 0.00 6354 6461
89024 155.60 1 174559.6 -772508 0.00 13108 13559
89503 78.70 1 094606.5 -035333 0.00 5186 5257
89515 126.47 1 223648.6 +185123 0.00 8066 8238
89524 87.10 1 020056.6 +194225 0.00 5354 5430
89527 61.09 1 024915.2 +211817 0.00 6472 6583
89529 105.68 1 033900.1 +154428 0.00 7768 7927
89531 139.96 1 033912.7 +155851 0.00 9320 9549
89758 202.30 1 134648.9 -294521 0.00 14532 15085
89760 119.12 1 134802.9 -304702 0.00 12116 12501
89771 123.03 1 134948.8 -293642 0.00 4614 4670
89773 103.28 1 135001.6 -301332 0.00 4476 4529
89784 64.27 1 135111.3 -303038 0.00 5019 5085
89806 60.53 1 135851.3 -332923 10.69 4420 4472
89825 44.87 1 140244.7 -345745 0.00 4351 4401
89827 43.05 1 140255.6 -341520 10.96 4439 4491
89829 75.16 2 140307.9 -340158 10.48 5463 5542
89838 57.02 1 140340.5 -341058 0.00 4753 4813
89857 57.54 2 140651.3 -342931 11.02 4932 4996
89864 50.82 1 140755.3 -341809 0.00 4684 4742
89942 26.55 1 031644.0 +650143 0.00 3050 3075
89985 16.75 1 043248.6 +292957 8.40 2043 2054
90023 61.38 1 054305.4 +003712 0.00 4366 4417
90039 69.18 1 062133.0 +505247 0.00 5545 5627
90108 59.98 1 093834.1 -635822 0.00 4712 4771
90453 75.16 2 000823.9 +330141 0.00 4630 4687
90492 97.72 1 004111.6 +150309 0.00 4703 4762
90504 72.78 1 005051.6 +005104 0.00 4235 4282
90507 136.14 1 005208.8 +143012 0.00 8781 8984
90531 200.45 1 011508.9 +151731 0.00 20014 21057
90533 204.17 1 011814.7 +150555 0.00 15939 16604
90540 38.73 1 012123.8 -015146 0.00 1908 1917
90548 98.63 1 012737.5 +510852 0.00 5812 5901
90553 50.82 1 013531.6 +020153 0.00 2309 2323
90562 51.76 1 014428.8 +275543 0.00 3760 3797
90564 82.04 2 014822.4 +335041 0.00 5515 5596
90578 100.46 1 015934.8 +400538 0.00 4532 4587
90583 108.64 1 020406.8 +024016 0.00 5995 6090
90588 125.89 1 020627.7 +133952 0.00 8773 8976
90591 159.22 1 020933.6 +334040 0.00 11481 11827
90592 100.46 1 021019.1 +363113 0.00 7430 7576
90595 148.59 1 021126.3 +404533 0.00 5663 5748
90627 68.87 1 023835.6 +403946 0.00 3732 3769
90628 111.69 1 023842.4 +104618 0.00 7680 7836
90644 80.17 1 025608.3 +274203 0.00 6270 6374
90647 213.80 1 025916.6 -145046 0.00 8629 8825
90653 75.86 1 030204.3 +254733 0.00 6590 6705
90679 93.76 1 032719.8 +035510 0.00 6497 6608
90690 238.78 1 034101.4 +133419 0.00 9906 10164
90694 23.23 1 034718.2 -144150 0.00 1581 1587
90695 88.72 2 034914.9 +160504 0.00 6241 6344
90699 59.70 1 040137.6 +244919 0.00 5681 5766
90703 65.77 1 041401.3 +264500 0.00 5452 5531
90710 216.77 1 042310.0 -071253 0.00 9246 9472
90711 85.11 1 042514.8 +045903 0.00 4888 4951
90717 149.97 1 043405.8 +012438 0.00 10009 10273
90719 73.79 1 043731.4 -030614 0.00 4378 4429
90720 59.98 1 044419.2 +670307 0.00 5026 5093
90726 121.34 1 044939.5 +002850 0.00 8449 8637
90737 90.78 1 051948.2 +013339 0.00 4393 4444
90751 98.17 1 062041.5 +672935 0.00 4284 4332
90757 88.72 1 063537.7 +644119 0.00 5620 5704
90766 101.86 1 065350.4 +680417 0.00 5353 5429
90771 71.78 1 070949.4 +234259 0.00 6744 6864
90775 109.14 2 071637.2 +325724 0.00 7448 7595
90776 70.79 1 071641.8 +301548 0.00 3429 3460
90778 145.21 1 071724.1 +223047 0.00 9802 10055
90783 95.50 1 072850.2 +282319 0.00 6637 6753
90784 133.05 1 073325.0 +202715 0.00 8838 9044
90787 175.39 1 073657.8 +270047 0.00 8125 8299
90789 140.60 2 073748.8 +321247 0.00 8295 8476
90795 115.88 2 074816.0 +284256 0.00 7035 7165
90796 135.52 2 074851.7 +362325 0.00 8705 8904
90800 219.79 2 075243.5 +240719 12.12 13874 14379
90801 62.81 1 075345.2 +394657 0.00 4024 4066
90803 76.21 2 075420.4 +324628 0.00 5488 5568
90806 100.00 2 075500.6 +362748 0.00 6231 6334
90807 122.46 1 075540.6 +284430 0.00 6602 6717
90811 79.80 1 075727.8 +354314 0.00 4334 4384
90815 65.46 1 080047.1 +083820 0.00 2785 2805
90817 106.66 1 080435.1 +355951 0.00 5782 5871
90831 220.80 2 081317.4 +205756 0.00 11519 11868
90844 55.21 2 082436.1 +220111 0.00 4940 5005
90848 119.67 1 082524.0 +301623 0.00 7857 8020
90854 196.79 1 083200.3 +193359 0.00 8935 9145
90872 95.94 1 084859.2 -082200 0.00 5918 6011
90874 266.69 1 085037.9 +350918 0.00 16981 17734
90884 200.45 1 085844.2 +310640 0.00 9386 9618
90895 108.14 1 090739.0 +283809 0.00 6944 7071
90909 139.96 1 091905.3 +310613 0.00 7692 7849
90923 115.35 1 093200.7 +121542 0.00 6212 6314
90927 89.95 1 093305.0 -160343 0.00 4917 4981
90930 141.25 1 093550.1 +225527 0.00 7950 8117
90931 87.50 1 093630.6 +153255 0.00 4642 4699
90935 251.19 1 094019.5 +334837 0.00 11992 12369
90941 39.63 1 094522.1 -134452 0.00 2875 2897
90944 95.50 1 094735.7 +235425 0.00 7436 7582
90949 99.08 1 094857.0 +330236 0.00 6881 7006
90962 109.65 1 095507.1 -160407 0.00 9794 10046
90972 185.35 1 100048.7 +352845 0.00 11677 12035
91015 114.82 1 102809.9 +090045 0.00 10396 10680
91037 108.14 1 103847.6 +290650 0.00 6617 6733
91086 150.66 1 110829.9 +104912 0.00 11428 11771
91091 94.19 1 111215.4 +083743 0.00 3667 3703
91130 114.29 1 113325.4 +095859 0.00 6661 6778
91134 149.97 1 113533.8 +245743 0.00 7249 7388
91143 222.84 1 114611.6 +334401 12.42 9615 9858
91186 87.90 1 121611.6 +135932 0.00 8009 8179
91187 162.93 1 121827.6 +124147 12.22 7928 8094
91299 31.05 1 133602.4 +081108 0.00 1533 1540
91315 112.20 1 135002.9 +155410 0.00 7017 7147
91362 128.82 1 143007.1 -062543 0.00 13390 13860
91390 175.39 1 144904.9 +171053 0.00 11523 11872
91401 184.50 1 145705.6 +093246 0.00 10115 10384
91413 51.76 1 150633.3 -124301 0.00 2527 2544
91455 198.61 1 153407.1 +113935 0.00 13158 13612
91513 186.21 1 161555.4 +164702 0.00 10450 10738
91514 248.89 1 161603.4 +112851 0.00 10684 10985
91516 120.78 1 161640.6 +143857 0.00 9180 9402
91537 311.89 1 163106.9 +392547 12.31 18873 19801
91554 87.10 1 164654.7 +315307 0.00 4444 4497
91570 77.27 1 165148.6 +784511 0.00 5084 5152
91580 203.24 1 170707.2 +085536 0.00 10625 10922
91586 88.31 1 171510.3 +065929 0.00 6311 6416
91594 123.03 1 172723.8 +133946 0.00 9024 9239
91606 116.95 1 174749.5 +054824 0.00 6385 6493
91621 77.98 1 180805.8 +163444 0.00 6450 6560
91623 119.12 1 181201.2 +253430 0.00 4653 4710
91630 63.97 1 182616.4 +251958 0.00 5172 5243
91633 42.66 1 183046.7 +662237 0.00 4805 4866
91643 92.47 1 185801.1 +421325 0.00 4747 4807
91654 107.15 1 192102.4 +544854 0.00 4338 4388
91656 34.67 1 193046.4 +535320 0.00 3608 3643
91661 99.54 1 193555.2 +640419 0.00 5482 5561
91666 62.23 1 200110.9 +530430 0.00 3338 3368
91667 27.42 1 201729.1 -105050 0.00 1608 1615
91678 74.13 1 204243.1 -024600 0.00 3535 3568
91705 88.31 1 212341.8 +190744 0.00 5048 5116
91731 90.36 1 221058.8 +224630 0.00 6864 6988
91742 52.72 1 223307.3 +722844 0.00 2445 2461
91747 89.13 2 223937.7 +333446 0.00 6254 6358
91749 109.14 1 224314.7 +082557 0.00 9442 9677
91750 114.82 1 224351.5 +082559 0.00 7602 7754
91755 17.62 1 224714.2 +754519 0.00 1417 1423
91759 193.20 1 225037.0 +121405 0.00 10930 11244
91768 121.34 1 225914.3 +262319 0.00 7284 7424
91777 55.98 1 230546.9 +383850 0.00 4761 4821
91778 83.95 1 230636.7 +060648 0.00 5557 5639
91787 68.87 1 231410.5 +341805 0.00 4883 4947
91814 67.61 2 234230.9 +280240 0.00 6823 6946
91819 80.54 1 234413.2 +281619 0.00 6800 6922
91885 115.88 1 003625.5 -570030 0.00 9778 10029
92219 396.28 1 071251.4 -350434 0.00 16040 16712
92244 31.05 1 084954.6 -203901 0.00 3527 3560
92378 74.13 1 130229.0 -362713 0.00 6230 6333
92435 172.98 1 140742.7 -272548 0.00 10667 10966
92622 296.48 1 205222.1 -493149 0.00 16074 16750
92640 155.60 1 210640.0 -252755 0.00 11046 11367
92853 138.04 1 021110.9 +374919 0.00 7261 7400
92865 107.65 1 030028.0 +051905 0.00 8256 8435
